question_id,algebraic_word_problem,reference_answer,step_by_step_solution,predicted_answer,topic,difficulty,fuzzy_score
1,John has 5 apples. He buys 3 more each day. How many after 4 days?,17 apples,"Day 1: 5 + 3 = 8 apples
Day 2: 8 + 3 = 11 apples
Day 3: 11 + 3 = 14 apples
Day 4: 14 + 3 = 17 apples","Solve the following math problem: John has 5 apples. He buys 3 more each day. How many after 4 days?
Answer: To solve this problem, we can use the knowledge point of addition.

On the first day, John has 5 apples.
On the second day, he buys 3 more, so he has 5 + 3 = 8 apples.
On the third day, he buys 3 more, so he has 8 + 3 = 11 apples.
On the fourth day, he buys 3 more, so he has 11 + 3 = 14 apples.

Therefore, after 4 days, John will have 14 apples.

The answer is 14.",Simple Equations,Easy,3
2,A pen costs $2. How much will 4 pens cost?,$8,4 pens * $2/pen = $8,"Solve the following math problem: A pen costs $2. How much will 4 pens cost?
Answer: To find the cost of 4 pens, we need to multiply the cost of one pen by the number of pens. Since each pen costs $2, we can multiply $2 by 4 to find the total cost. 

$2 x 4 = $8

Therefore, 4 pens will cost $8. The answer is $8.",Basic Arithmetic,Easy,1
3,"Tom is 5 years younger than Jane. If Jane is 12, how old is Tom?",7 years old,Tom = Jane's age - 5 = 12 - 5 = 7,"Solve the following math problem: Tom is 5 years younger than Jane. If Jane is 12, how old is Tom?
Answer: Let T represent Tom's age and J represent Jane's age. We are given that J = 12 and T = J - 5. We can substitute J = 12 into the equation T = J - 5 to find Tom's age.
T = 12 - 5
T = 7
The answer is Tom is 7 years old.",Age Problems (Basic),Easy,7
4,A car travels at 30 miles per hour. How far does it travel in 2 hours?,60 miles,Distance = Speed * Time = 30 miles/hour * 2 hours = 60 miles,"Solve the following math problem: A car travels at 30 miles per hour. How far does it travel in 2 hours?
Answer: Distance = Speed x Time
Distance = 30 miles/hour x 2 hours
Distance = 60 miles
Therefore, the car travels 60 miles in 2 hours.",Distance-Rate-Time,Easy,6
5,John and Mary together have 30 apples. John has 5 more apples than Mary. How many apples does each of them have?,John has 17 apples and Mary has 13 apples,"Let Mary's apples = x
John's apples = x + 5
x + (x + 5) = 30
2x + 5 = 30
2x = 25
x = 12.5
John = 17.5, Mary = 12.5 (rounding for this example)","Solve the following math problem: John and Mary together have 30 apples. John has 5 more apples than Mary. How many apples does each of them have?
Answer: Let's assume that Mary has x apples. Since John has 5 more apples than Mary, he would have x + 5 apples.
According to the problem, the total number of apples they have together is 30. So, we can set up the equation: x + (x + 5) = 30.
Simplifying the equation, we get: 2x + 5 = 30.
Subtracting 5 from both sides, we have: 2x = 25.
Dividing both sides by 2, we find: x = 12.5.
Since we can't have half an apple, we",Equations with Two Variables,Medium,12
6,"A solution contains 30% sugar. If there are 5 liters of solution, how much sugar is in the solution?",1.5 liters of sugar,Amount of sugar = 30% of 5 liters = 0.3 * 5 = 1.5 liters,"Solve the following math problem: A solution contains 30% sugar. If there are 5 liters of solution, how much sugar is in the solution?
Answer: To find the amount of sugar in the solution, we need to calculate 30% of 5 liters.

Step 1: Convert the percentage to a decimal by dividing it by 100.
30% = 30/100 = 0.3

Step 2: Multiply the decimal by the total volume of the solution.
0.3 * 5 = 1.5

Therefore, there is 1.5 liters of sugar in the solution.

The answer is 1.5 liters.",Mixture Problems,Medium,8
7,"John takes 4 hours to paint a wall, while Mary takes 6 hours. How long will it take them to paint the wall together?",2.4 hours,"John's rate = 1/4 walls/hour, Mary's rate = 1/6 walls/hour
Total rate = 1/4 + 1/6 = 5/12 walls/hour
Time = 1/(5/12) = 12/5 = 2.4 hours","Solve the following math problem: John takes 4 hours to paint a wall, while Mary takes 6 hours. How long will it take them to paint the wall together?
Answer: To solve this problem, we can use the concept of rates of work. 

Let's assume that the wall is one unit of work. 

John can complete 1/4 of the work in one hour, while Mary can complete 1/6 of the work in one hour. 

To find out how long it will take them to complete the work together, we need to find the combined rate at which they work. 

The combined rate is the sum of their individual rates. So, the combined rate is 1/4 + 1/6 = 5/12 of the work per hour. 

To find the time it will take them to complete the work together",Work Problems,Medium,2
8,"In 5 years, Peter will be twice as old as he was 3 years ago. How old is Peter now?",11 years old,"Let Peter's current age = x
In 5 years, Peter's age = x + 5
3 years ago, Peter's age = x - 3
x + 5 = 2(x - 3)
x + 5 = 2x - 6
x = 11","Solve the following math problem: In 5 years, Peter will be twice as old as he was 3 years ago. How old is Peter now?
Answer: Let's represent Peter's current age as x. According to the problem, in 5 years, Peter will be x + 5 years old. Three years ago, Peter was x - 3 years old. The problem states that in 5 years, Peter will be twice as old as he was 3 years ago, so we can write the equation: x + 5 = 2(x - 3). Now, we will solve for x.

x + 5 = 2x - 6
5 + 6 = 2x - x
11 = x

So, Peter's current age is 11 years old. The answer is 11.",Age Problems (Complex),Medium,4
9,"Tom invests $1,000 at 5% interest, compounded annually. How much money will he have after 3 years?","$1,157.63","A = P(1 + r/n)^(nt)
A = 1000(1 + 0.05/1)^(1*3)
A = 1000(1.05)^3 = 1000 * 1.157625 = $1,157.63","Solve the following math problem: Tom invests $1,000 at 5% interest, compounded annually. How much money will he have after 3 years?
Answer: To solve this problem, we can use the formula for compound interest: A = P(1 + r/n)^(nt), where A is the final amount, P is the principal amount, r is the interest rate, n is the number of times the interest is compounded per year, and t is the number of years.

Given:
Principal amount (P) = $1,000
Interest rate (r) = 5% = 0.05
Number of times compounded per year (n) = 1 (compounded annually)
Number of years (t) = 3

Substituting the given values into the formula, we have:",Investment Problems,Medium,2
10,"A rectangular garden has a perimeter of 30 meters, and its area is 50 square meters. What are the dimensions of the garden?",5 meters by 10 meters,"Let length = l and width = w
Perimeter = 2(l + w) = 30
Area = l * w = 50
Solve system of equations: l + w = 15, lw = 50","Solve the following math problem: A rectangular garden has a perimeter of 30 meters, and its area is 50 square meters. What are the dimensions of the garden?
Answer: Let the length of the garden be L meters and the width be W meters. We are given that the perimeter is 30 meters, so we can write the equation:

2L + 2W = 30

We are also given that the area is 50 square meters, so we can write the equation:

L * W = 50

Now, we can solve the first equation for one of the variables, say L:

L = (30 - 2W) / 2

Substitute this expression for L into the second equation:

((30 - 2W) / 2) * W = 50",Quadratic Equations,Hard,6
