question_id,algebraic_word_problem,reference_answer,step_by_step_solution,predicted_answer,topic,difficulty
1,John has 5 apples. He buys 3 more each day. How many after 4 days?,17 apples,"Day 1: 5 + 3 = 8 apples
Day 2: 8 + 3 = 11 apples
Day 3: 11 + 3 = 14 apples
Day 4: 14 + 3 = 17 apples","Solve the following math problem: John has 5 apples. He buys 3 more each day. How many after 4 days?
Answer: To find the total number of apples after 4 days, we need to add the number of apples John has each day. 
On the first day, John has 5 apples. 
On the second day, he buys 3 more, so he has 5 + 3 = 8 apples. 
On the third day, he buys 3 more, so he has 8 + 3 = 11 apples. 
On the fourth day, he buys 3 more, so he has 11 + 3 = 14 apples. 

Therefore, the answer is 14.",Simple Equations,Easy
2,A pen costs $2. How much will 4 pens cost?,$8,4 pens * $2/pen = $8,"Solve the following math problem: A pen costs $2. How much will 4 pens cost?
Answer: To solve this problem, we need to multiply the cost of one pen by the number of pens. We know that one pen costs $2, and we want to find the cost of 4 pens. So, we need to multiply 2 by 4. 

$2 \times 4 = 8$

Therefore, 4 pens will cost $8. The answer is $8.",Basic Arithmetic,Easy
3,"Tom is 5 years younger than Jane. If Jane is 12, how old is Tom?",7 years old,Tom = Jane's age - 5 = 12 - 5 = 7,"Solve the following math problem: Tom is 5 years younger than Jane. If Jane is 12, how old is Tom?
Answer: To find Tom's age, we need to subtract 5 from Jane's age. Jane is 12 years old, so Tom is 12 - 5 = 7 years old.
The answer is 7.",Age Problems (Basic),Easy
4,A car travels at 30 miles per hour. How far does it travel in 2 hours?,60 miles,Distance = Speed * Time = 30 miles/hour * 2 hours = 60 miles,"Solve the following math problem: A car travels at 30 miles per hour. How far does it travel in 2 hours?
Answer: To find the distance the car travels in 2 hours, we need to multiply the speed of the car (30 miles per hour) by the time (2 hours). 

Distance = Speed × Time

Distance = 30 miles/hour × 2 hours

Distance = 60 miles

The answer is 60 miles.",Distance-Rate-Time,Easy
5,John and Mary together have 30 apples. John has 5 more apples than Mary. How many apples does each of them have?,John has 17 apples and Mary has 13 apples,"Let Mary's apples = x
John's apples = x + 5
x + (x + 5) = 30
2x + 5 = 30
2x = 25
x = 12.5
John = 17.5, Mary = 12.5 (rounding for this example)","Solve the following math problem: John and Mary together have 30 apples. John has 5 more apples than Mary. How many apples does each of them have?
Answer: Let's call the number of apples that Mary has ""x"". Then, John has ""x + 5"" apples. We know that together they have 30 apples, so we can set up the equation:
x + (x + 5) = 30
Simplifying this equation, we get:
2x + 5 = 30
Subtracting 5 from both sides, we get:
2x = 25
Dividing both sides by 2, we get:
x = 12.5
So Mary has 12.5 apples, and John has 17.5 apples.
The answer is:",Equations with Two Variables,Medium
6,"A solution contains 30% sugar. If there are 5 liters of solution, how much sugar is in the solution?",1.5 liters of sugar,Amount of sugar = 30% of 5 liters = 0.3 * 5 = 1.5 liters,"Solve the following math problem: A solution contains 30% sugar. If there are 5 liters of solution, how much sugar is in the solution?
Answer: To solve this problem, we need to find the amount of sugar in the solution. 

Step 1: Calculate the percentage of sugar in the solution
Since the solution contains 30% sugar, we can express this as a decimal by dividing 30 by 100: 30/100 = 0.3

Step 2: Multiply the percentage by the total volume of the solution
To find the amount of sugar in the solution, we multiply the percentage (0.3) by the total volume (5 liters): 0.3 * 5 = 1.5

Therefore, there is 1.5 liters of sugar",Mixture Problems,Medium
7,"John takes 4 hours to paint a wall, while Mary takes 6 hours. How long will it take them to paint the wall together?",2.4 hours,"John's rate = 1/4 walls/hour, Mary's rate = 1/6 walls/hour
Total rate = 1/4 + 1/6 = 5/12 walls/hour
Time = 1/(5/12) = 12/5 = 2.4 hours","Solve the following math problem: John takes 4 hours to paint a wall, while Mary takes 6 hours. How long will it take them to paint the wall together?
Answer: Let x be the time it takes for John and Mary to paint the wall together. We can set up the equation: 
(1/4)x + (1/6)x = 1 (Since they complete the wall together, their work adds up to 1 wall)

To solve the equation, we can find the least common denominator (LCD) of 4 and 6, which is 12. We then multiply both sides of the equation by 12 to eliminate the fractions:
12 * (1/4)x + 12 * (1/6)x = 12 * 1

This simplifies to:
3x +",Work Problems,Medium
8,"In 5 years, Peter will be twice as old as he was 3 years ago. How old is Peter now?",11 years old,"Let Peter's current age = x
In 5 years, Peter's age = x + 5
3 years ago, Peter's age = x - 3
x + 5 = 2(x - 3)
x + 5 = 2x - 6
x = 11","Solve the following math problem: In 5 years, Peter will be twice as old as he was 3 years ago. How old is Peter now?
Answer: Let's assume that Peter's current age is x.
In 5 years, Peter's age will be x+5.
Three years ago, Peter's age was x-3.
According to the problem, in 5 years, Peter's age will be twice his age three years ago:
x+5 = 2(x-3)
Simplifying the equation, we get:
x+5 = 2x-6
x = 11
Therefore, Peter is currently 11 years old.
The answer is 11.",Age Problems (Complex),Medium
9,"Tom invests $1,000 at 5% interest, compounded annually. How much money will he have after 3 years?","$1,157.63","A = P(1 + r/n)^(nt)
A = 1000(1 + 0.05/1)^(1*3)
A = 1000(1.05)^3 = 1000 * 1.157625 = $1,157.63","Solve the following math problem: Tom invests $1,000 at 5% interest, compounded annually. How much money will he have after 3 years?
Answer: To solve this problem, we can use the formula for compound interest: A = P(1 + r/n)^(nt), where A is the future value, P is the principal, r is the annual interest rate, n is the number of times the interest is compounded per year, and t is the number of years.

In this case, P = $1,000, r = 5% = 0.05, n = 1 (since it's compounded annually), and t = 3 years.

A = 1000(1 + 0.05/1)^(1*3)
A = 1000(1",Investment Problems,Medium
10,"A rectangular garden has a perimeter of 30 meters, and its area is 50 square meters. What are the dimensions of the garden?",5 meters by 10 meters,"Let length = l and width = w
Perimeter = 2(l + w) = 30
Area = l * w = 50
Solve system of equations: l + w = 15, lw = 50","Solve the following math problem: A rectangular garden has a perimeter of 30 meters, and its area is 50 square meters. What are the dimensions of the garden?
Answer: Let the length and width of the garden be l and w, respectively. Then, we have:
2l + 2w = 30  (since the perimeter is 30 meters)
lw = 50  (since the area is 50 square meters)
Solving the first equation for l, we get: l = 15 - w
Substituting this into the second equation, we get:
(15 - w)w = 50
Expanding and rearranging, we get:
w^2 - 15w + 50 = 0
Factoring, we get:
(w - 10)(",Quadratic Equations,Hard
11,"A company sells two types of gadgets. Gadget A costs $5, and Gadget B costs $10. If 50 gadgets are sold for a total of $350, how many of each type were sold?",30 Gadget A and 20 Gadget B,"Let number of Gadget A = x, number of Gadget B = y
x + y = 50
5x + 10y = 350
Solve system of equations","Solve the following math problem: A company sells two types of gadgets. Gadget A costs $5, and Gadget B costs $10. If 50 gadgets are sold for a total of $350, how many of each type were sold?
Answer: Let x be the number of Gadget A sold and y be the number of Gadget B sold. Then we have the following system of equations:
x + y = 50 (total number of gadgets sold)
5x + 10y = 350 (total revenue from the sales)
Simplifying the first equation, we get x = 50 - y.
Substituting this into the second equation, we get:
5(50 - y) + 10y = 350
250 - 5y + 10y = 350
5y = 100
y = 20",Systems of Equations,Hard
12,"The ratio of boys to girls in a class is 3:5. If there are 64 students in total, how many are boys and how many are girls?",24 boys and 40 girls,"Let boys = 3x and girls = 5x
Total students = 3x + 5x = 64
8x = 64
x = 8
Boys = 3 * 8 = 24, Girls = 5 * 8 = 40","Solve the following math problem: The ratio of boys to girls in a class is 3:5. If there are 64 students in total, how many are boys and how many are girls?
Answer: To find the number of boys and girls, we can first find the total parts in the ratio. The total parts are 3 (for boys) + 5 (for girls) = 8 parts.
Next, we can divide the total number of students by the total parts in the ratio. This gives us 64 students / 8 parts = 8 students per part.
Now, we can multiply the number of students per part by the number of parts for each group. For boys, there are 3 parts, so 8 students per part * 3 parts = 24 boys. For girls, there are 5 parts, so 8 students per part * 5 parts = 40 girls",Ratio and Proportion Problems,Hard
13,"Machine A can complete a job in 4 hours, and Machine B can complete the same job in 6 hours. After working together for 2 hours, Machine A breaks down. How long will Machine B take to finish the job?",2.67 hours,"Rate of Machine A = 1/4 job/hour, Rate of Machine B = 1/6 job/hour
Together for 2 hours: (1/4 + 1/6) * 2 = 5/12 job completed
Remaining job = 1 - 5/12 = 7/12
Time for Machine B to finish = (7/12) / (1/6) = 7/2 = 3.5 hours","Solve the following math problem: Machine A can complete a job in 4 hours, and Machine B can complete the same job in 6 hours. After working together for 2 hours, Machine A breaks down. How long will Machine B take to finish the job?
Answer: Let the total work be 1 unit. Machine A completes $\frac{1}{4}$ of the work in 1 hour, and Machine B completes $\frac{1}{6}$ of the work in 1 hour. Working together for 2 hours, they complete $\frac{1}{4} + \frac{1}{6} = \frac{5}{12}$ of the work. After 2 hours, Machine A has completed $\frac{1}{4} \times 2 = \frac{1}{2}$ of the work, and $\frac{1}{2}$ of the work is left. Machine B can complete $\frac{1}{6}$ of the work in 1 hour,",Work Problems (Complex),Hard
14,"A shopkeeper sells an item for $240, making a 20% profit. What was the cost price of the item?",$200,"Selling price = Cost price * (1 + Profit %)
240 = Cost price * 1.2
Cost price = 240 / 1.2 = $200","Solve the following math problem: A shopkeeper sells an item for $240, making a 20% profit. What was the cost price of the item?
Answer: Let the cost price of the item be x.
Selling price = cost price + profit
240 = x + 0.2x
240 = 1.2x
x = 200
Therefore, the cost price of the item was $200.",Profit and Loss,Hard
15,Lisa has 12 apples. She gives 3 apples to each of her friends. How many friends does she give apples to?,4 friends,Number of friends = 12 apples / 3 apples per friend = 4 friends,"Solve the following math problem: Lisa has 12 apples. She gives 3 apples to each of her friends. How many friends does she give apples to?
Answer: To find the number of friends Lisa gives apples to, we need to divide the total number of apples by the number of apples given to each friend. 

Number of friends = Total number of apples ÷ Number of apples given to each friend
Number of friends = 12 ÷ 3
Number of friends = 4

Therefore, Lisa gives apples to 4 friends.
The answer is 4.",Simple Equations,Easy
16,"If a pen costs $3, how much will 6 pens cost?",$18,6 pens * $3/pen = $18,"Solve the following math problem: If a pen costs $3, how much will 6 pens cost?
Answer: To find the cost of 6 pens, we need to multiply the cost of one pen by 6. 
Cost of one pen = $3
Cost of 6 pens = 6 x $3 = $18
Therefore, the cost of 6 pens is $18.",Basic Arithmetic,Easy
17,"Sam is 7 years older than Tom. If Tom is 8 years old, how old is Sam?",15 years old,Sam = Tom's age + 7 = 8 + 7 = 15 years old,"Solve the following math problem: Sam is 7 years older than Tom. If Tom is 8 years old, how old is Sam?
Answer: Let's start by defining a variable for Sam's age. Let's call it ""S"". We know that Sam is 7 years older than Tom, so we can set up an equation: S = T + 7, where T is Tom's age. We also know that Tom is 8 years old, so we can substitute that into the equation: S = 8 + 7. Simplifying, we get S = 15. Therefore, Sam is 15 years old.
The answer is 15.",Age Problems (Basic),Easy
18,A car travels at 45 miles per hour. How far will it travel in 3 hours?,135 miles,Distance = Speed * Time = 45 miles/hour * 3 hours = 135 miles,"Solve the following math problem: A car travels at 45 miles per hour. How far will it travel in 3 hours?
Answer: To solve this problem, we need to use the formula distance = speed x time. In this case, the speed is 45 miles per hour and the time is 3 hours. So, the distance traveled is:

distance = speed x time
distance = 45 miles/hour x 3 hours
distance = 135 miles

Therefore, the car will travel 135 miles in 3 hours.",Distance-Rate-Time,Easy
19,Sara and Jane together have 50 books. Sara has 10 more books than Jane. How many books does each have?,Sara has 30 books and Jane has 20 books,"Let Jane's books = x
Sara's books = x + 10
x + (x + 10) = 50
2x + 10 = 50
2x = 40
x = 20
Sara = 30, Jane = 20","Solve the following math problem: Sara and Jane together have 50 books. Sara has 10 more books than Jane. How many books does each have?
Answer: Let's assume that Jane has x books. Since Sara has 10 more books than Jane, Sara has x + 10 books.
According to the problem, the total number of books they have is 50. So, we can write the equation as:
x + (x + 10) = 50
Simplifying the equation, we get:
2x + 10 = 50
Subtracting 10 from both sides, we have:
2x = 40
Dividing both sides by 2, we find:
x = 20
Therefore, Jane has 20 books and Sara has 20 +",Equations with Two Variables,Medium
