question_id,algebraic_word_problem,reference_answer,step_by_step_solution,predicted_answer,topic,difficulty,fuzzy_score
1,John has 5 apples. He buys 3 more each day. How many after 4 days?,17 apples,"Day 1: 5 + 3 = 8 apples
Day 2: 8 + 3 = 11 apples
Day 3: 11 + 3 = 14 apples
Day 4: 14 + 3 = 17 apples","Solve the following math problem: John has 5 apples. He buys 3 more each day. How many after 4 days?
Answer: Let's think step by step.Step 1: John starts with 5 apples.
Step 2: He buys 3 more apples each day.
Step 3: After the first day, he has 5 + 3 = 8 apples.
Step 4: After the second day, he has 8 + 3 = 11 apples.
Step 5: After the third day, he has 11 + 3 = 14 apples.
Step 6: After the fourth day, he has 14 + 3 = 17 apples.
Step 7: So, after 4 days, John has 17",Simple Equations,Easy,4
2,A pen costs $2. How much will 4 pens cost?,$8,4 pens * $2/pen = $8,"Solve the following math problem: A pen costs $2. How much will 4 pens cost?
Answer: Let's think step by step.First, we need to determine the cost of one pen. We are given that one pen costs $2.

Next, we want to find out how much 4 pens will cost. To do this, we need to multiply the cost of one pen by the number of pens we want to buy. In this case, we want to buy 4 pens.

So, we can set up the equation as follows:

Cost of 1 pen × Number of pens = Total cost of pens

Substitute the given values into the equation:

$2 (cost of 1 pen) × 4 (number of pens) = Total cost of pens",Basic Arithmetic,Easy,0
3,"Tom is 5 years younger than Jane. If Jane is 12, how old is Tom?",7 years old,Tom = Jane's age - 5 = 12 - 5 = 7,"Solve the following math problem: Tom is 5 years younger than Jane. If Jane is 12, how old is Tom?
Answer: First, we need to understand the relationship between Tom and Jane's ages. The problem states that Tom is 5 years younger than Jane. 

Second, we are given Jane's age, which is 12 years old. 

To find Tom's age, we need to subtract 5 years from Jane's age because Tom is 5 years younger. 

So, the calculation would be: 12 (Jane's age) - 5 (the age difference) = 7. 

Therefore, Tom is 7 years old. 

In conclusion, Tom is 7 years old.

The answer is: 7.",Age Problems (Basic),Easy,4
4,A car travels at 30 miles per hour. How far does it travel in 2 hours?,60 miles,Distance = Speed * Time = 30 miles/hour * 2 hours = 60 miles,"Solve the following math problem: A car travels at 30 miles per hour. How far does it travel in 2 hours?
Answer: First, we need to understand the problem. The problem is asking us to find the distance traveled by a car in 2 hours, given that the car travels at a speed of 30 miles per hour.

To solve this problem, we can use the formula for distance, which is:

Distance = Speed * Time

In this case, the speed is 30 miles per hour and the time is 2 hours. So, we can substitute these values into the formula:

Distance = 30 miles per hour * 2 hours

Now, we just need to do the multiplication:

Distance = 60 miles

So, the car travels a distance of 60",Distance-Rate-Time,Easy,2
5,John and Mary together have 30 apples. John has 5 more apples than Mary. How many apples does each of them have?,John has 17 apples and Mary has 13 apples,"Let Mary's apples = x
John's apples = x + 5
x + (x + 5) = 30
2x + 5 = 30
2x = 25
x = 12.5
John = 17.5, Mary = 12.5 (rounding for this example)","Solve the following math problem: John and Mary together have 30 apples. John has 5 more apples than Mary. How many apples does each of them have?
Answer: Let's think step by step.First, we need to define our variables. Let's let $x$ represent the number of apples that Mary has. Since we know that John has 5 more apples than Mary, we can represent the number of apples John has as $x+5$.

Next, we can set up an equation to represent the total number of apples that John and Mary have together. Since we know that they have a total of 30 apples, we can write the equation as $x+(x+5)=30$.

Now, we can simplify this equation. Combining like terms on the left side gives us $2x+5=30$.",Equations with Two Variables,Medium,10
6,"A solution contains 30% sugar. If there are 5 liters of solution, how much sugar is in the solution?",1.5 liters of sugar,Amount of sugar = 30% of 5 liters = 0.3 * 5 = 1.5 liters,"Solve the following math problem: A solution contains 30% sugar. If there are 5 liters of solution, how much sugar is in the solution?
Answer: To solve this problem, we need to determine the amount of sugar in the solution. We know that the solution contains 30% sugar and there are 5 liters of solution.

Step 1: Understand the problem
We are given a solution that contains 30% sugar. This means that for every 100 parts of the solution, 30 parts are sugar. Our goal is to find out how much sugar is in 5 liters of this solution.

Step 2: Set up the proportion
We can set up a proportion to solve this problem. Let x be the amount of sugar in the solution. The proportion can be set up as follows:

30/1",Mixture Problems,Medium,5
7,"John takes 4 hours to paint a wall, while Mary takes 6 hours. How long will it take them to paint the wall together?",2.4 hours,"John's rate = 1/4 walls/hour, Mary's rate = 1/6 walls/hour
Total rate = 1/4 + 1/6 = 5/12 walls/hour
Time = 1/(5/12) = 12/5 = 2.4 hours","Solve the following math problem: John takes 4 hours to paint a wall, while Mary takes 6 hours. How long will it take them to paint the wall together?
Answer: To solve this problem, we can use the formula for the time it takes to complete a task when working together, which is:

Time taken to complete the task together = (Total work) / (Rate of work)

In this case, the total work is painting the wall, and the rate of work is the rate at which John and Mary paint the wall individually.

First, we need to find the individual rates of work for John and Mary. We know that John takes 4 hours to paint the wall, so his rate of work is:

Rate of work for John = 1 wall / 4 hours = 1/4 wall per hour

Similarly, Mary takes 6 hours to",Work Problems,Medium,2
8,"In 5 years, Peter will be twice as old as he was 3 years ago. How old is Peter now?",11 years old,"Let Peter's current age = x
In 5 years, Peter's age = x + 5
3 years ago, Peter's age = x - 3
x + 5 = 2(x - 3)
x + 5 = 2x - 6
x = 11","Solve the following math problem: In 5 years, Peter will be twice as old as he was 3 years ago. How old is Peter now?
Answer: Let's think step by step.First, we need to define the unknown in this problem. Let's denote Peter's current age as $x$.

Next, we need to translate the problem into a mathematical equation. According to the problem, in 5 years, Peter will be $x+5$ years old. It also states that in 5 years, Peter will be twice as old as he was 3 years ago. This means that $x+5=2(x-3)$.

Now, we need to solve this equation for $x$. First, distribute the 2 on the right side of the equation to get $x+5=2x-6$.

Then, we",Age Problems (Complex),Medium,3
9,"Tom invests $1,000 at 5% interest, compounded annually. How much money will he have after 3 years?","$1,157.63","A = P(1 + r/n)^(nt)
A = 1000(1 + 0.05/1)^(1*3)
A = 1000(1.05)^3 = 1000 * 1.157625 = $1,157.63","Solve the following math problem: Tom invests $1,000 at 5% interest, compounded annually. How much money will he have after 3 years?
Answer: To solve this problem, we need to use the formula for compound interest:

A = P(1 + r/n)^(n*t)

Where:
A = the future value of the investment/loan, including interest
P = the principal investment amount (the initial deposit or loan amount)
r = the annual interest rate (decimal)
n = the number of times that interest is compounded per year
t = the number of years the money is invested or borrowed for

In this case, Tom invests $1,000 at 5% interest, compounded annually. So:
P = $1,000
r = 5% =",Investment Problems,Medium,2
10,"A rectangular garden has a perimeter of 30 meters, and its area is 50 square meters. What are the dimensions of the garden?",5 meters by 10 meters,"Let length = l and width = w
Perimeter = 2(l + w) = 30
Area = l * w = 50
Solve system of equations: l + w = 15, lw = 50","Solve the following math problem: A rectangular garden has a perimeter of 30 meters, and its area is 50 square meters. What are the dimensions of the garden?
Answer: Let's think step by step.Step 1: Define the variables.
Let the length of the garden be $l$ meters and the width be $w$ meters.

Step 2: Write the equations for the perimeter and the area.
The perimeter of the garden is given by the equation:
$2l + 2w = 30$

The area of the garden is given by the equation:
$lw = 50$

Step 3: Solve for one variable in terms of the other.
We can solve the perimeter equation for one variable. Let's solve for $l$:
$l = \frac{30 -",Quadratic Equations,Hard,5
11,"A company sells two types of gadgets. Gadget A costs $5, and Gadget B costs $10. If 50 gadgets are sold for a total of $350, how many of each type were sold?",30 Gadget A and 20 Gadget B,"Let number of Gadget A = x, number of Gadget B = y
x + y = 50
5x + 10y = 350
Solve system of equations","Solve the following math problem: A company sells two types of gadgets. Gadget A costs $5, and Gadget B costs $10. If 50 gadgets are sold for a total of $350, how many of each type were sold?
Answer:First, let's define our variables. Let x be the number of Gadget A sold and y be the number of Gadget B sold.

We have two pieces of information given in the problem:

1. The cost of Gadget A is $5 and the cost of Gadget B is $10.
2. The total number of gadgets sold is 50 and the total revenue from the sales is $350.

We can represent these two pieces of information as two equations:

1. x + y = 50 (from the total number of gadgets sold)
2. 5x + 10y = 350 (from",Systems of Equations,Hard,6
