question_id,algebraic_word_problem,reference_answer,step_by_step_solution,predicted_answer,topic,difficulty,fuzzy_score
1,John has 5 apples. He buys 3 more each day. How many after 4 days?,17 apples,"Day 1: 5 + 3 = 8 apples
Day 2: 8 + 3 = 11 apples
Day 3: 11 + 3 = 14 apples
Day 4: 14 + 3 = 17 apples","Solve the following math problem: John has 5 apples. He buys 3 more each day. How many after 4 days?
Answer: After 4 days, John will have 20 apples.

Here's the calculation:
- Day 1: John starts with 5 apples.
- Day 2: He buys 3 more, so he has \(5 + 3 = 8\) apples.
- Day 3: He buys another 3, making it \(8 + 3 = 11\) apples.
- Day 4: He buys yet another 3, bringing his total to \(11 + 3 = 14\) apples.

Therefore, by the end of the fourth day, John will have 14 apples, not 20 as initially stated in the answer. The correct answer should be 14 apples.",Simple Equations,Easy,2
2,A pen costs $2. How much will 4 pens cost?,$8,4 pens * $2/pen = $8,"Solve the following math problem: A pen costs $2. How much will 4 pens cost?
Answer: If one pen costs $2, then four pens will cost:

\[4 \times \$2 = \$8\]",Basic Arithmetic,Easy,3
3,"Tom is 5 years younger than Jane. If Jane is 12, how old is Tom?",7 years old,Tom = Jane's age - 5 = 12 - 5 = 7,"Solve the following math problem: Tom is 5 years younger than Jane. If Jane is 12, how old is Tom?
Answer: If Jane is 12 years old and Tom is 5 years younger than Jane, then to find Tom's age, we subtract 5 from Jane's age:

\[ \text{Jane's age} - 5 = \text{Tom's age} \]

\[ 12 - 5 = 7 \]

Therefore, Tom is 7 years old.",Age Problems (Basic),Easy,7
4,A car travels at 30 miles per hour. How far does it travel in 2 hours?,60 miles,Distance = Speed * Time = 30 miles/hour * 2 hours = 60 miles,"Solve the following math problem: A car travels at 30 miles per hour. How far does it travel in 2 hours?
Answer: To find out how far the car travels, you multiply its speed by the time traveled.

Distance = Speed × Time

Given:
Speed = 30 miles per hour
Time = 2 hours

Distance = 30 miles/hour × 2 hours = 60 miles

The car travels 60 miles in 2 hours.",Distance-Rate-Time,Easy,4
5,John and Mary together have 30 apples. John has 5 more apples than Mary. How many apples does each of them have?,John has 17 apples and Mary has 13 apples,"Let Mary's apples = x
John's apples = x + 5
x + (x + 5) = 30
2x + 5 = 30
2x = 25
x = 12.5
John = 17.5, Mary = 12.5 (rounding for this example)","Solve the following math problem: John and Mary together have 30 apples. John has 5 more apples than Mary. How many apples does each of them have?
Answer: John has 17.5 apples, and Mary has 12.5 apples.

Here's the reasoning:

1. Let's use algebra to solve this problem. Let x represent the number of apples that Mary has.
2. Since John has 5 more apples than Mary, John has x + 5 apples.
3. The total number of apples they both have is 30, so we can write the equation: x + (x + 5) = 30
4. Simplify the equation: 2x + 5 = 30
5. Subtract 5 from both sides: 2x = 25
6. Divide by 2: x = 12.5",Equations with Two Variables,Medium,13
6,"A solution contains 30% sugar. If there are 5 liters of solution, how much sugar is in the solution?",1.5 liters of sugar,Amount of sugar = 30% of 5 liters = 0.3 * 5 = 1.5 liters,"Solve the following math problem: A solution contains 30% sugar. If there are 5 liters of solution, how much sugar is in the solution?
Answer: To find out how much sugar is in the solution, you can multiply the total volume of the solution by the percentage of sugar it contains. 

Given:
- The solution contains 30% sugar.
- There are 5 liters of solution.

To calculate the amount of sugar:

\[ \text{Amount of sugar} = \text{Total volume} \times \text{Percentage of sugar} \]

First, convert the percentage to a decimal by dividing by 100:

\[ 30\% = \frac{30}{100} = 0.3 \]

Now, calculate the amount of sugar:

\[ \text{Amount of sugar} = 5 \, \text{liters}",Mixture Problems,Medium,5
7,"John takes 4 hours to paint a wall, while Mary takes 6 hours. How long will it take them to paint the wall together?",2.4 hours,"John's rate = 1/4 walls/hour, Mary's rate = 1/6 walls/hour
Total rate = 1/4 + 1/6 = 5/12 walls/hour
Time = 1/(5/12) = 12/5 = 2.4 hours","Solve the following math problem: John takes 4 hours to paint a wall, while Mary takes 6 hours. How long will it take them to paint the wall together?
Answer: It will take them approximately 2.4 hours to paint the wall together.

Explanation:
To solve this problem, we first determine how much of the wall each person can paint in one hour. 

John paints 1/4 of the wall per hour, and Mary paints 1/6 of the wall per hour. Together, they paint (1/4 + 1/6) of the wall per hour.

Let's find a common denominator for the fractions, which is 12:

(3/12) + (2/12) = 5/12

So, together, they paint 5/12 of the wall per hour.

Now, we need to figure out how long it will take",Work Problems,Medium,3
8,"In 5 years, Peter will be twice as old as he was 3 years ago. How old is Peter now?",11 years old,"Let Peter's current age = x
In 5 years, Peter's age = x + 5
3 years ago, Peter's age = x - 3
x + 5 = 2(x - 3)
x + 5 = 2x - 6
x = 11","Solve the following math problem: In 5 years, Peter will be twice as old as he was 3 years ago. How old is Peter now?
Answer: Let's denote Peter's current age as \(P\).

According to the problem:

- In 5 years, Peter's age will be \(P + 5\).
- Three years ago, Peter's age was \(P - 3\).

The problem states that in 5 years, Peter will be twice as old as he was 3 years ago. So, we can write this relationship as an equation:

\[P + 5 = 2(P - 3)\]

Expanding and solving for \(P\):

\[P + 5 = 2P - 6\]

Bringing all terms involving \(P\) to one side and constants to the other:

\[5 + 6 = 2P - P",Age Problems (Complex),Medium,3
9,"Tom invests $1,000 at 5% interest, compounded annually. How much money will he have after 3 years?","$1,157.63","A = P(1 + r/n)^(nt)
A = 1000(1 + 0.05/1)^(1*3)
A = 1000(1.05)^3 = 1000 * 1.157625 = $1,157.63","Solve the following math problem: Tom invests $1,000 at 5% interest, compounded annually. How much money will he have after 3 years?
Answer: To solve this problem, we can use the formula for compound interest:

\[ A = P(1 + r)^n \]

where:
- \(A\) is the amount of money accumulated after n years, including interest.
- \(P\) is the principal amount (the initial amount of money).
- \(r\) is the annual interest rate (decimal).
- \(n\) is the time the money is invested for in years.

Given:
- \(P = \$1,000\)
- \(r = 5\% = 0.05\) (as a decimal)
- \(n = 3\) years

Plugging these values into the formula:

\[ A = 1000(1 +",Investment Problems,Medium,2
10,"A rectangular garden has a perimeter of 30 meters, and its area is 50 square meters. What are the dimensions of the garden?",5 meters by 10 meters,"Let length = l and width = w
Perimeter = 2(l + w) = 30
Area = l * w = 50
Solve system of equations: l + w = 15, lw = 50","Solve the following math problem: A rectangular garden has a perimeter of 30 meters, and its area is 50 square meters. What are the dimensions of the garden?
Answer: The dimensions of the garden are 10 meters by 5 meters.

Explanation:

Let's denote the length of the garden as \(L\) and the width as \(W\). We have two equations based on the given information:

1. The perimeter of the rectangle:
\[2L + 2W = 30\]

2. The area of the rectangle:
\[L \times W = 50\]

From the first equation, we can simplify it to:
\[L + W = 15\]

Now, let's express one variable in terms of the other from this equation. For example, let's solve for \(L\):
\[L = 15 - W\]

Next, substitute this expression",Quadratic Equations,Hard,5
